交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
2024-01-14 23:59:58,wx1234567890,1234567890,0,,4200000000000000,OUT20240114_PRE01,user0,JSAPI,SUCCESS,OTHER,CNY,88.00,0.00,,,,,,,商品前日边界,,0.53,0.60%
2024-01-15 00:00:02,wx1234567890,1234567890,0,,4200000000000001,OUT20240115_POST01,user1,JSAPI,SUCCESS,OTHER,CNY,66.00,0.00,,,,,,,商品后日边界,,0.40,0.60%
2024-01-15 10:30:00,wx1234567890,1234567890,0,,4200000000000002,OUT20240115001,user2,JSAPI,SUCCESS,OTHER,CNY,100.00,0.00,,,,,,,商品A,,0.60,0.60%
2024-01-15 11:00:00,wx1234567890,1234567890,0,,4200000000000003,OUT20240115002,user3,JSAPI,SUCCESS,OTHER,CNY,200.50,0.00,,,,,,,商品B,,1.20,0.60%
2024-01-15 14:20:00,wx1234567890,1234567890,0,,4200000000000004,OUT20240115003,user4,NATIVE,SUCCESS,OTHER,CNY,50.00,0.00,,,,,,,商品C,,0.30,0.60%
2024-01-15 15:00:00,wx1234567890,1234567890,0,,5000000000000001,OUT20240115004,user5,JSAPI,REFUND,OTHER,CNY,100.00,0.00,5000000000000001,REFUND001,100.00,0.00,ORIGINAL,SUCCESS,商品A,,0.00,0.60%
2024-01-15 16:30:00,wx1234567890,1234567890,0,,4200000000000006,OUT20240115005,user6,JSAPI,SUCCESS,OTHER,CNY,300.00,0.00,,,,,,,商品D,,1.80,0.60%
2024-01-15 23:59:55,wx1234567890,1234567890,0,,4200000000000007,OUT20240115_END01,user7,JSAPI,SUCCESS,OTHER,CNY,123.45,0.00,,,,,,,商品当日截止前,,0.74,0.60%
2024-01-16 00:00:05,wx1234567890,1234567890,0,,4200000000000008,OUT20240116_START01,user8,JSAPI,SUCCESS,OTHER,CNY,99.99,0.00,,,,,,,商品次日开始后,,0.60,0.60%
2024-01-15 23:59:59,wx1234567890,1234567890,0,,4200000000000009,OUT20240115_GRACE01,user9,JSAPI,SUCCESS,OTHER,CNY,33.33,0.00,,,,,,,商品宽限期内,,0.20,0.60%
总交易单数,10
应结订单总金额,1061.27
退款总金额,100.00
手续费总金额,6.37
